,TotalLinesOfCode,TotalSymbols,SymbolsPerLine,Area,AreaPerLine,TotalConnectivity,TotalConnectivityPerLine,FieldConnectivity,FieldConnectivityPerLine,MethodConnectivity,MethodConnectivityPerLine,MethodDeclarationLines,MethodDeclarationSymbols,MethodDeclarationSymbolsPerLine,MethodDeclarationArea,MethodDeclarationDepthPerLine,KeywordContinueTotalCount,KeywordContinueCountPerLine,KeywordForTotalCount,KeywordForCountPerLine,KeywordNewTotalCount,KeywordNewCountPerLine,KeywordSwitchTotalCount,KeywordSwitchCountPerLine,KeywordAssertTotalCount,KeywordAssertCountPerLine,KeywordSynchronizedTotalCount,KeywordSynchronizedCountPerLine,KeywordBooleanTotalCount,KeywordBooleanCountPerLine,KeywordDoTotalCount,KeywordDoCountPerLine,KeywordIfTotalCount,KeywordIfCountPerLine,KeywordThisTotalCount,KeywordThisCountPerLine,KeywordBreakTotalCount,KeywordBreakCountPerLine,KeywordDoubleTotalCount,KeywordDoubleCountPerLine,KeywordThrowTotalCount,KeywordThrowCountPerLine,KeywordByteTotalCount,KeywordByteCountPerLine,KeywordElseTotalCount,KeywordElseCountPerLine,KeywordCaseTotalCount,KeywordCaseCountPerLine,KeywordInstanceofTotalCount,KeywordInstanceofCountPerLine,KeywordReturnTotalCount,KeywordReturnCountPerLine,KeywordTransientTotalCount,KeywordTransientCountPerLine,KeywordCatchTotalCount,KeywordCatchCountPerLine,KeywordIntTotalCount,KeywordIntCountPerLine,KeywordShortTotalCount,KeywordShortCountPerLine,KeywordTryTotalCount,KeywordTryCountPerLine,KeywordCharTotalCount,KeywordCharCountPerLine,KeywordFinalTotalCount,KeywordFinalCountPerLine,KeywordFinallyTotalCount,KeywordFinallyCountPerLine,KeywordLongTotalCount,KeywordLongCountPerLine,KeywordStrictfpTotalCount,KeywordStrictfpCountPerLine,KeywordFloatTotalCount,KeywordFloatCountPerLine,KeywordSuperTotalCount,KeywordSuperCountPerLine,KeywordWhileTotalCount,KeywordWhileCountPerLine,label
4941,1,49,49.0,0,0.0,0,0.0,0,0.0,0,0.0,20,642,32.1,21,1.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
2783,2,100,50.0,0,0.0,2,1.0,1,0.5,1,0.5,5,197,39.4,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
721230,1,54,54.0,0,0.0,0,0.0,0,0.0,0,0.0,40,1981,49.525,37,0.925,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
5546,11,513,46.63636363636363,11,1.0,2,0.181818181818181,2,0.181818181818181,0,0.0,17,774,45.52941176470589,27,1.5882352941176472,0,0.0,0,0.0,2,0.181818181818181,0,0.0,0,0.0,0,0.0,0,0.0,1,0.09090909090909,0,0.0,2,0.181818181818181,0,0.0,0,0.0,1,0.09090909090909,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.09090909090909,1,0.09090909090909,0,0.0,1,0.09090909090909,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
1136405,9,423,47.0,0,0.0,9,0.9,9,0.9,0,0.0,32,1365,42.65625,14,0.4375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
658212,32,1712,53.5,28,0.875,2,0.047619047619047,1,0.023809523809523,1,0.023809523809523,88,4572,51.95454545454545,131,1.488636363636363,0,0.0,0,0.0,0,0.0,0,0.0,24,0.5714285714285711,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.023809523809523,0,0.0,1,0.023809523809523,1,0.023809523809523,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
833229,27,883,32.7037037037037,6,0.222222222222222,4,0.142857142857142,2,0.071428571428571,2,0.071428571428571,68,2334,34.3235294117647,71,1.044117647058823,0,0.0,0,0.0,5,0.178571428571428,0,0.0,5,0.178571428571428,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.071428571428571,0,0.0,0,0.0,2,0.071428571428571,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
1121274,9,555,61.66666666666666,10,1.111111111111111,3,0.23076923076923,3,0.23076923076923,0,0.0,69,4448,64.46376811594203,195,2.8260869565217392,0,0.0,1,0.076923076923076,1,0.076923076923076,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
365735,73,5318,72.84931506849315,0,0.0,0,0.0,0,0.0,0,0.0,243,14738,60.65020576131688,237,0.975308641975308,0,0.0,0,0.0,1,0.008771929824561,0,0.0,42,0.368421052631578,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.043859649122807,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
1014929,5,248,49.6,0,0.0,3,0.23076923076923,1,0.076923076923076,2,0.153846153846153,128,5282,41.265625,929,7.2578125,0,0.0,0,0.0,1,0.076923076923076,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
6218,2,308,154.0,0,0.0,0,0.0,0,0.0,0,0.0,8,896,112.0,5,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
954563,8,648,81.0,0,0.0,2,0.133333333333333,1,0.066666666666666,1,0.066666666666666,31,2553,82.35483870967742,33,1.064516129032258,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
1756,5,203,40.6,0,0.0,0,0.0,0,0.0,0,0.0,171,6717,39.280701754385966,190,1.111111111111111,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
2432,12,589,49.083333333333336,10,0.833333333333333,1,0.083333333333333,1,0.083333333333333,0,0.0,93,4956,53.29032258064516,313,3.365591397849462,0,0.0,0,0.0,1,0.083333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.166666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
8175,3,180,60.0,0,0.0,2,0.6666666666666661,1,0.333333333333333,1,0.333333333333333,135,6109,45.25185185185185,268,1.985185185185185,0,0.0,2,0.6666666666666661,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
3916,7,237,33.857142857142854,3,0.428571428571428,3,0.428571428571428,2,0.285714285714285,1,0.142857142857142,13,426,32.769230769230774,10,0.769230769230769,0,0.0,4,0.5714285714285711,1,0.142857142857142,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.285714285714285,0,0.0,0,0.0,0,0.0,1,0.142857142857142,0,0.0,2,0.285714285714285,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
1001564,6,248,41.333333333333336,0,0.0,1,0.166666666666666,1,0.166666666666666,0,0.0,12,554,46.16666666666666,10,0.833333333333333,0,0.0,0,0.0,1,0.166666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.166666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.166666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
7197,1,39,39.0,0,0.0,1,1.0,0,0.0,1,1.0,43,1829,42.53488372093023,44,1.023255813953488,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
1193650,2,124,62.0,0,0.0,0,0.0,0,0.0,0,0.0,29,1209,41.689655172413794,34,1.172413793103448,0,0.0,0,0.0,2,0.6666666666666661,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.6666666666666661,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
